"Title";"Saga";"Genre";"Synopsis"
"Battle Blaze";"";"vs. fighting";"Enter a time of barbaric madness where fighters clash with blades of steel. Armed with flying maces and razor-edged broadswords, warriors of chaotic land await to challenge brave opponents. Only one worthy contender will become the master of the realm! "
"Jim Power - The Lost Dimension in 3D";"";"action";"The supernatural alien Vaprak threatens to defeat our world which is the last planet that stands between him and a dimensional vortex. This vortex leads to a fifth and, up until now, lost dimension. If he succeeds in defeating us, he will destroy our world, opening a gateway for his kind as well as the strange mutating effect that this dimension has on all organic life forms. His forces are far too strong for us to defeat in a frontal attack which is why Special Agent Jim Power is sent to slip past his Omni-eye scanners and make an assassination attempt on the greatest evil that man has ever known. It will take absolutely all of his wits and skill but it is imperative that he reaches Vaprak's fortress and sends him back to the sulphurous plane from whence he came."
"Bloody Roar II";"Bloody Roar";"vs. fighting";"It's the Dawning of a New Breed... With the dawning of the new millennium, a new breed of assassins emerges-altered humans who transmute into violent, raging beasts. All must fight and survive to satisfy their own inner quests..."
"Azure Dreams";"";"role play";"The huge Monster Tower stands near the village Monsbaiya. It is populated by vicious monsters, and few dare enter it. But the monsters in the tower lay eggs, and whoever takes possession of such an egg, can tame a monster which will come out of it, and those monsters, called ""familiars"", will help their tamers in times of danger. Some brave adventurers dared to enter the tower and to take the eggs. One of them was called Guy. He was killed in the monster tower. Now his son Koh is fifteen, and he is allowed to try his luck in the tower."
"Ranx";"";"action, adventure";"The player controls Ranx, a cyborg in a cyberpunk-style world. A lethal virus is spreading, and the President has caught it, so Ranx must go to New York with the antidote to save him. After this, he must rescue his girlfriend in Rome."
"Escape From Colditz";"";"adventure";"You are in control of a team of four prisoners of war: a Brit, a Frenchman, an American and a Pole and must guide them all to what many attempted and few achieved – escape from the notorious Nazi POW camp. You control each of the 4 men separately, each of them starting within their own quarters on different floors of the camp, and can always switch between them. "
"Benefactor";"";"platforms, puzzle";"As Ben E. Factor himself, you must travel through the six moons of Minniat, on which the peaceful and good-natured people of Lullyat have been kidnapped. These Merry Men each have their own potential skill once rescued, so releasing them in the right order is often essential for completing a level. Some Merry Men have grey suits - this marks them out as joyless and awkward characters which must be guided through a coloring machine."
"SuperKarts";"";"racing";"""SuperKarts"" is a fun arcade Go Kart racing game that features 16 tracks. The sequel is Manic Karts. If you're tired of all those technical racing games, try this: just drive and steer. You can also get numerous power-ups and upgrade your kart, such as Turbo, Oil and Grip."
"MegaRace";"";"racing";"Virtual Television has given us a chance to do the things that we can't make real in everyday life: Race through 14 great tracks in 5 different environments in a totally virtual place where you can kill each other quite easily with sidekicks or guns. In every track you will see some symbols that can make your car speed up, slow up or even blow up, like your mega-host Lance Boyle says, ""Who knows; who cares!"" Everything you see in MegaRace is virtual and no one really dies there. So have fun!"
"Crime Wave";"";"shooter";"A powerful crime syndicate has taken over large areas of our major cities, turning them into vast criminal wastelands. Arson, extortion, drug distribution and now... terrorist abduction! You've just learned they've taken the President's daughter and are holding her and the country hostage. You've had a GUTFULL! Your purpose: to wipe out this criminal organization and rescue the President's daughter. Even with the most sophisticated assault technology available, it won't be easy. Can you save the country from this sinister infestation?"
"Future Wars";"";"graphic adventure";"In the 43rd century Earth is under attack from an alien race. The planet is well protected by a formidable SDI defence which the aliens cannot penetrate... until they hit on a plan... sabotage the defences BEFORE they are built by travelling back in time to plant delayed-action bombs at strategic places! Your adventure starts in the present day when, innocently attempting to avoid your boss at work you stumble across a secret passage that transports you back in time to the start of a quest that takes you into the Middle Ages, Prehistoric Times, and the distant future. "
"Super Mario RPG - Legend of the Seven Stars";"";"role play";"Mario returns in this incredible new role-playing adventure! His latest rival is Smithy, a menacing creature who causes fear and treachery in the Mushroom Kingdom. Mario must recover seven stars and repair the Star Road before he can make his way to Bowser's castle for a final confrontation with Smithy. Powerful weapons, sinister spells and other useful items help Mario to complete his harrowing journey. New friends and old allies support him along the way. Even Bowser lends a hand! "
"Defenders of Dynatron City";"";"shooter";"Welcome to Dynatron City, where nobody's normal. Dr. Mayhem's atomic experiments produced six really cool superheroes... and an awful lot of enemies. Battle your way through sewers full of Gatomorphs and Loogiehawks, streets crawling with rabid robots, and the malevolent Mega Mall, where you have your showdown with Atom Ed, the floating head. And then you're ready for Dr. Mayhem himself! Monkey Kid's banana bombs waste Loogiehawks! Radium Dog snaps up big bargains in Mega Mall! Buzzsaw Girl's blades stop metal mutants! "
"Task Force Harrier EX";"";"shooter";"An underground communist group vying for world domination has resurfaced after years in hiding. They have developed the experimental warfighter TU-190, which has enough firepower to threaten the entire free world, and it's headed for the United States. The UN sends in a lone fighter, Falcon, who must break through the enemy lines, destroy TU-190, and save the free world from destruction. Commence operation!"
"Disposable Hero";"";"shooter";""
"The Adventures of Dr. Franken";"Dr. Franken";"platforms";"Franky and his girlfriend Bitsy are planning a vacation to New York. There's just one problem: Bitsy doesn't have a passport. Our protagonist comes up with a brilliant idea: He takes Bitsy apart and mails her to New York in different packages, where he will put her back together. Unfortunately for the couple, Bitsy has been lost in the mail. It is up to Franky to find her parts and put her back together."
"World Championship Soccer II";"";"sports";"""World Championship Soccer II"" is an update of the first game with improved graphics. It contains the teams from the previous game, but adds the 1994 World Cup teams to use in exhibition and tournament play. It also features eight teams from the 1986 and 1990 World Cups, more formations and strategy options, and a four-way play option so four people can play together."
"Nightmare Circus";"";"brawler";""
"Hook";"";"platforms";"Peter Pan has now grown up, and is far away from Neverland, but his old enemy Captain Hook has not forgotten and schemes his revenge. Kidnapping Peter's children, he lures our hero back to the island of pirates and ""Lost Boys"" for a final confrontation. With the help of Tinkerbell, the faithful fairy, you take on the role of Peter in this magic adventure fraught with danger and excitement."
"Equinox";"Solstice";"adventure";"As Glendaal, you wake to a horrifying scene. Evil forces have reduced the town of Galedonia to rubble and turned the villagers into mutant zombies and demons. Your father, the wizard Shadax, must be found, for only he has the magical powers to challenge the evil Sonia. The search for Shadax takes you through overworld and underworld battle zones, from strategic attack positions high in the clouds to eight mysterious dungeons below -- loaded with ghosts, wind demons and traps galore. Moving from dungeon to dungeon, you'll search for the hidden mystical tokens which must be found to complete a game so real that it's hard to believe it's really a game! "
"Solstice - The Quest for the Staff of Demnos";"Solstice";"adventure";"The Princess Eleanor has been captured by the evil mage Morbius and is somewhere in the fortress of Kastlerock. You play the part of Shadax, who must now rescue the Princess by searching the fortress for the six pieces of the magical Staff of Demnos and use it to defeat Morbius., "
"Super Bomber Man 3";"Bomber Man";"action";"""Super Bomberman 3"" adds in 5 player support using a multitap and the extra controller slot. The ""revenge"" or ""miso bomber"" feature was introduced in this game. That is when a player dies they can still throw bombs in from the sidelines in an attempt to swap places with a player that is still alive. Many new powerups were added in this game including the Kangaroo which in addition to giving a player and extra hit allowed them to have some extra ablity including jumping, laying rows of bombs, and high speed running."
"Sonic Blast Man II";"Sonic Blast Man";"brawler";"Sonic Blast Man, The World Needs You! Yafu, the self-proclaimed omniscient one from a distant planet, has targeted Earth and all its inhabitants for sudden destruction. Saving humanity from this terrible fate is Sonic Blast Man's immediate task...and he's going to need all the help he can get! In this amazing sequel, Sonic Blast Man teams up with two other super action heroes: Sonic Blast girl, Sonia, and the cybernoid earthling, Captain Choyear. Each character has his/her own unique arsenal and some devastating special moves. You will be able to choose any one of the three as you chop and smash through the five fiend-full Stages on your quest for Yafu. Get ready to Sonic Blast off! "
"Nostradamus";"";"shooter";""
"Mega-Lo-Mania";"";"strategy";"A new planet is born and only lacks its leader. Could this be you? Are you ready to face the challenge of three vicious opponents who are plotting only for your demise? To control the planet you will need to begin at the dawn of time and fight through to the present and even the future. You must take a feeble race of cave men and lead them through the ages, progressing in technological skill until you are ready to fight in the Mother of All Battles - the final conflict to be fought at the end of time! "
"The 3-D Battles of World Runner";"";"shooter";"Somewhere in a place known as Solar System #517, the evil Grax and his horde of Serpentbeasts are terrorizing the people of the eight worlds. A hero is needed who can run and jump. Jump between worlds, in fact. That hero is the World Runner."
"Master of Monsters";"Master of Monsters";"strategy";"Gaya, king of the Dark World, summoned five of his loyal subjects a fierce warlock, a sorcerer with healing powers, an evil wizard, Nechromensa the master of chaos and confusion, and Samona, who possesses power over all good and evil subjects. Gaya looked over his five masters of magic and spoke: ""The time has come to choose a new king, but only one of you will reign. You will use your magical powers to create fighting monsters and ultimately you will live or die. Whoever remains will conquer and inherit my kingdom. Though you may win or lose, each of you must fight to the end to be worthy of ruling my kingdom."" After Gaya spoke, he pointed to a door behind the five masters of magic. ""On the other side of the door, I have created a world of the Master of Monsters,"" roared King Gaya. ""Go and fight to your victory!"" "
"Master of Monsters - Disciples of Gaia";"Master of Monsters";"strategy";"Choose from six of Gaia's disciples and conquer a land consisting of mountains, lakes, oceans, streams, rivers and snow to overpower the now evil master, Gaia. Conquer this fantasy land that is controlled by swords, magic and wizardry. Summon monsters, fight enemies and cleanse the Earth of chaos. "
"Super Punch-Out!!";"Punch-Out!!";"sports, vs. fighting";"Slug your way through the grueling and sweat-pounding matches of the Minor, Major, and World Circuits. Dodge bone-bruising punches and dance to the top of the supreme Special Circuit. Face off against old favorites including Bear Hugger, Piston Hurricane, Bald Bull, Mr. Sandman and Super Macho Man plus a cast of new and weird challengers. With a right hook! Body blow! And precise quick jabs! The referee announces ""Knock Out!"" Your opponent lies face down as you win the title of Nintendo Video Boxing Association Champion!"
"Silent Hill 2";"Silent Hill";"action, adventure";"In the sequel to ""Silent Hill"", ""Silent Hill 2"" follows James Sunderland, whose life is shattered when his young wife Mary suffers a tragic death. Three years later, a mysterious letter arrives from Mary, beckoning him to return to their sanctuary of memories, the dark realm of Silent Hill. You must guide James through all-new environments and creepy new areas closed off in the original game. Real-time weather effects, fog, morphing, and shadows set the stage for heart-stopping frights. Be brave as you journey to uncover the truth. "
"Hermie Hopperhead - Scrap Panic";"";"platforms";"Hermie Hopperhead is a young city kid with weird-looking red hair that sticks out in all directions. While waiting for his girlfriend, Trish, he happens to spot an egg with arms and legs come leaping out of a nearby garbage can. The bipedal egg coaxes him to come with it, and Hermie is lead into another world called Egg World. The world's resident villain, Mad Migo, is trying to take over this world of innocent egg people. What's worse, the evil Migo has taken Hermie's girlfriend, Trish, hostage. It is now up to Hermie to put a stop to Mad Migo's plans and rescue his girlfriend."
"North & South";"";"strategy";"CHAAARRGE!!! Strategy and skill are required for this unique game. Its numerous options will allow you to live the Civil War again. In the world of the comic book - Les Tuniques Bleues - you become a Yankee or Confederate. Encircle your enemy and launch surprise attacks. Selecting one or two players, move your troops, stop trains, take forts by assault and in the final part, lead a genuine little army on the field. To your sabres! "
"Section-Z";"";"shooter";"Planet Earth in the year 2XXX. You are relaxing at the console of your computerized superconductor-generated interplanetary satellite communications system. Suddenly, high frequency radio and television transmissions blast warnings to all inhabitants to prepare for the brutal invading forces of Balangool Empire. Battle and defeat the space soldiers of Balangool. Penetrate their base divided in section A through Section-Z, then destroy Balangool master control ""L-Brain."" "
"Willow (RPG)";"";"role play";"Long ago, in a time of magic and sorcery, an evil sorceress named Queen Bavmorda ruled the land under a reign of terror. A baby has been born who, legend foretells, will destroy the wicked ruler but the Queen vows the slay the child first. Now the villagers of Nelwyn must band together to assist Willow, the child's chosen protector., As Willow, you must travel through mysterious forests and villages - first evading the Queen and her demons, then plotting to end her reign of terror. You will accumulate an arsenal of swords, shield, and most importantly magic, which are necessary for your final confrontation. Outnumbered by the Nockmaar Army, you must rely on inner strength and determination to destroy the evil Queen - before it's too late! "
"Great Soccer";"";"sports";"Get ready to play like a professional on this fast-paced soccer green. Your arena? It's international and you're up against the best soccer teams in the world. Will you play with Italian passion, Argentine stamina or the calculating cool of the West Germans? Maybe you'll want to push the young U.S.A. team to championship status. Your strategy: combine athletic skill and accurate timing to win points and block goals. And it won't be easy. Your opponents are tough and after the glory. So pass, dribble and kick your way to victory. You've got the ball, now run with it. "
"Kingsley's Adventure";"";"action, adventure";"Would you rather watch an adventure or be in one? This is the story of Kingsley, fox club and unlikely hero on a quest to save the Fruit Kingdom from the evil Wizard, Bad Custard. This is a job worthy only of a True Knight. Are you ready for the adventure of a lifetime? "
"Incantation";"";"platforms";"You live in a place of peace and harmony called the Magic Kingdom. The Magic Kingdom consists of seven worlds: the enchanted forest, mountains, swamps, cursed cliffs, and the palace of the evil wizard, Necroman. From the dawn of time, the peace within the seven worlds of the kingdom was controlled by a line of very good and very powerful magicians. It was one of these magicians who was chosen to inherit the power of his ancestors and thus became the guardian of the strange Book of Sorcery, which enabled him to hold absolute power in his hands. Alas, the peace of the kingdom was not to last as in the shadows, dark forces under the control of Necroman stole the Book of Sorcery and kidnapped the guardian magician. The kingdom fell under the control of the evil Necroman and from that day forward, green devils, wicked genies, and other demons have haunted the once beautiful and peaceful kingdom. "
"Super Soccer";"";"sports";"Shoot, pass, dribble and score! Super Soccer offers the gut-wrenching intensity and fast action of international soccer competition., You guide one of 16 top teams from every corner of the globe in exhibition or tournament play. With precise play control and super realistic field level view, you'll experience all the power of offense and the pressure of defense. Fullback, Midfielder, Striker or Goalie - you control the man on the ball so the excitement never stops!, Play a single exhibition game or compete for the World Championship in a fast-paced, multi-game tournament. Challenge the Super NES alone or with a friend. Or, take on an opponent in head-to-head play. If the game ends in a tie, face the ultimate challenge of the Shoot-out, where failure means instant defeat and success means final victory!"
"Prehistorik Man";"";"action, platforms";"In a small prehistoric village, disaster has struck! The winter food store has been eaten by greedy dinosaurs and the villagers are facing starvation! The Village Chief has chosen Sam to save mankind by leading a quest to find the legendary Dinosaur Graveyard. Sam must cross many unfamed prehistorik lands and bring back enough valuable bones to buy all the food the villagers need to survive the winter. "
"Super Godzilla";"";"action";"In ""Super Godzilla"", you operate Godzilla with all his huge power and ferocity and enjoy powerful battles between monsters complete with resounding battle cries. The game has two modes: In movement mode, you move Godzilla through cities destroying cities and crushing mountains. In battle mode, you fight dynamic one-on-one battles with enemy monsters. This game introduces a new type of battle system. You make Godzilla attack while you watch the level of his fighting spirit and that of his enemy. When Godzilla unleashes one of his major techniques, such as fire breath, the screen switches to a powerful animation. "
"Saint Sword";"";"action";"The mighty demon Gorgan has returned to conquer the world with more power than ever before. Only one Titan Macress, has the unique abilities and unequaled valor to stop this ferocious beast. You must rely on magic and courage to defeat your powerful enemy. Do you dare challenge Gorgan?"
"The Summoning";"";"role play";"The call of magic and mystery is irresistible. Heed it and revel in the glorious excitement of The Summoning. A single-character fantasy role-playing adventure of the first order. The Summoning delivers a mesmerizing, intricate plot with shocking twists and multiple endings. Play inside a huge game filled with mazes, castles, secret passageways and dungeons. Teleport to alternate dimensions. Gather clues, unravel puzzles, meet and converse with a multitude of fascinating NPCs, and battle hordes of menacing monsters. With 40 levels, you're guaranteed over 100 hours of breathtaking fun and excitement!"
"Legends of Valour";"";"role play";"Explore a 28-mile overworld town and an underground series of terrifying dungeons and labyrinths. Use the streamlined point-and-click interface to easily interact with hundreds of characters and monsters, with unique personalities. One-touch, icon-based combat is fast and furious Auto-mapping tracks every step you take. Choose from an unparalleled array of professions by joining any of nine guilds. Embark on over 45 exciting quests with multiple endings. Ultimately, restore a king to power, slay an evil demon -- and become the stuff of which legends are written!"
"Mortal Kombat Trilogy";"Mortal Kombat";"vs. fighting";"All the characters from the first three Mortal Kombat games return for the ultimate battle. You can play as Kano, Reptile, Mileena, Kung Lao, Shang Tsung, Sindel, Sketor, Stryker, Nightwolf, Sheeva, Kitana, Scorpion, Sonya, Smoke (Cyber Ninja), Rain, Jade, Baraka, Johnny Cage, Ermac, Noob Saibot, Sub-Zero (Unmasked), Sub-Zero (Classic), Jax, Rayden, Cyrax, Liu Kang, Smoke (Human), Kabal, Goro, Kintaro, Motaro, or Shao Kahn. This game is one-on-one martial arts fighting. The player can choose from over thirty different characters, all with their own fighting style and their own special moves. Trilogy differs from the other games in that you can play combinations of people that otherwise isn't possible, such as old Liu Kang vs. new Liu Kang, etc."
"Monty Python's Flying Circus";"";"platforms";""
"Mach 3";"";"shooter";"Kill all the enemies, avoid the mines, and travel between distinct worlds to kill the evil mastermind in this behind-the-hero view shooter."
"Skate or Die 2 - The Search for Double Trouble";"Skate or Die";"sports";""
"Strikers 1945 II";"Strikers 1945";"shooter";"Continuing where the last game ended, the forces of C.A.N.Y. have been demolished by the Strikers, but a faction known as the F.G.R. now has the C.A.N.Y. technology and plans to initiate global warfare with massive mecha technology. Once again, the Strikers are called into action to save the world. "
"Strikers 1945 III";"Strikers 1945";"shooter";""
"The Dukes of Hazzard - Racing for Home";"";"racing";"The Dukes are back! Climb behind the wheel of the General Lee and tear through the hills of Hazzard in in the craziest smash 'em up drive-like-a-maniac racing game you've ever played. It's a dream come true as you outrun Rosco, race to save the Duke farm and rescue Daisy from the clutches of Black Jack Perril."
"Worms";"";"strategy";"""Worms"" is an ultra-fast-paced game of team strategy for up to 16 players. It's a little bit ""Lemmings"" and a lotta bit ""Terminator""... only more pink and squishy, with bazookas, homing missiles and cluster bombs blasting the screen in an unrelenting fury, only the moist can survive! "
"Beggar Prince";"";"role play";"The snobby, selfish prince of Shatt Kingdom unknowingly aids a great threat to his world after he switches places with a beggar who looks just like him. Wanting only to escape the daily drudgery of his palace life, he has no idea what evil lies in wait around every corner. This careless brat of a boy is now the last chance for his kingdom to remain in peace, rather than be enveloped in chaos. Guide him on his way to learning the path of a true prince, and save his world from sinking into darkness. "
"Lemmings 2 - The Tribes";"Lemmings";"puzzle";"A whole new world! Those lovable green-haired Lemmings are back with a whole new bunch of skills, levels and mayhem to challenge your dexterity and tax your wits. You've gotta save those goofy critters. The Lemmings have split into 12 different tribes and are spread all over Lemming Island. It's up to you to lead them on. With your brains and their magic, you'll be unstoppable as you blaze through tons of awesome puzzles! Take the adventure to a higher level and reunite The Tribes! "
"Chack'n Pop";"";"action";""
"Guilty";"Jack T. Ladd";"graphic adventure";"Jack is a crime specialist in serious trouble. After all, he's just escaped from his cell aboard the prison ship Relentless, only to leave the craft stranded in the flight path of a merciless alien invasion fleet. And with just the ruthless policewoman Ysanne for company. Jack's about to find out just what the battle of the sexes is all about! "
"Palamedes";"";"puzzle";"Palamedes is a puzzle-shooter... a refreshing new type of video game for which you'll need sharp wits and quick fingers to escape the lines of dice that come rapidly plummeting down on you. Your objective is very simple, destroy the cascading lines of dice before you are squashed under their weight. The pace is fast and the action intense. Palamedes is not for the weak or for the meek. "
"Platoon";"";"action";"Are you ready for the real thing? In the jungle, everything is invisible. Including the enemy. Suddenly, a firefight explodes all around you. That's jungle combat as you saw it in the movie Platoon. Now, Platoon the game takes you right into the action. You'll fight for your life against deadly guerillas and hidden snipers, always on guard against the booby traps and napalm airstrikes that could end it all in an instant. Jungle combat, as close as you'll ever want to get to the real thing. "
"Nebulus";"";"platforms";"The head honcho over at Destructo Inc. headquarters has sent you to this alien-forsaken planet, Nebulus, to do what you do best. Destroy stuff. Like towers taller than the Empire State Building. What the bonehead also neglected to tell you is that there are 8 of these monuments hidden in the middle of a toxic ocean. And that to get rid of them, you've gotta work your way to the top of them. Plus one more itty bitty detail: The more towers you topple, the tougher the next one gets! "
"Psychic Force";"";"vs. fighting";"The year is 2010, and people are being born with special powerful abilities, such as the power to control the elements. These people are deemed ""Psychics"". A large group of underground Psychics are plotting something mysterious, which may endanger everyone, and this group is called ""Noa"". Psychic Force follows the intertwined adventures of a group of Psychics as they each struggle to reach their goal, and ultimately defeat the threat of Noa."
"Bad Mojo";"";"";"Inside a seedy, dilapidated bar in San Francisco, your dreams of escape are about to be realized. But remembering one last keepsake, you are suddenly siezed by its magic, and your transformation begins. From within the damp walls of Eddie's Bar, you emerge a cockroach. Enter a world of perilous puzzles and bizarre perspectives. What you discover may shock you. What you don't may kill you. Either way, you won't come out the same person. You may not even come out a person at all..."
"Transport Tycoon";"";"strategy";"Build the ultimate transport empire!Take control of your own fledgling transport company, and use your engineering skill and business acumen to keep cargo and passengers moving - and keep the money rolling in!"
"One Piece Mansion";"";"puzzle";"There Goes the Neighborhood! It's not easy being the landlord of the One Piece Mansion. In this wacky puzzle game it's your job to make sure life runs smoothly. Build up your mansion as high as you can, raise the rent and collect more money. But, it's also up to you to keep everybody happy, happy, happy...or else they'll move and skip out on their rent. Can a sumo wrestler, newlywed couple, cat lady, student and more really get along? It's going to take some serious skill to keep the peace and make sure life at the One Piece Mansion remains stress free! "
"Urban Chaos";"";"action";"The new millennium approaches. Turmoil, crime, and famine rule. Gangs, terrorists and violent cults lurk around every corner. As one of two cops, you must try and bring order to the city. D'arci is a young and cunning super-sleuth with unsurpassed reconnaissance and infiltration skills. As Special Forces veteran, Roper is known for his expertise in weapons and explosives. His skills are never questioned, but his mental stability is. Either one could be the hero this city is waiting for. But time is running out... "
"Warlords";"Warlords";"strategy";"Warlords is a huge, eight player strategy game of empires, castles, armies, heroes, monsters and dragons., In the fabled land of Illuria, an unconvincing peace treaty has just expired. Now, eight mighty empires contend in a ruthless struggle for supreme power. Only one will prevail... "
"The Big Red Adventure";"";"graphic adventure";"In the old Russia there was communism, queues, the Kremlin, Lenin, the KGB, queues, Karl Marx, the Cold War and queues... But in the new Russia, things have changed. Now there is capitalism, KGB TV, Burger Czar and Trotsky Interactive Games... Oh, and queues (some things never change)... "
"Sub Terrania";"";"shooter";"Aliens have invaded a vital subterranean mining colony. Fly a prototype fighter through impossible caverns to rescue miners and blast the aliens into the darkest pits of space! Wanted: light-speed reflexes, total concentration and nerves of steel. Fight to stay airborne as gravity sucks your ship towards the surface. Awesome futuristic graphics! Wreak mass carnage against incredible alien monsters and dodge the metal-melting blasts of enemy lasers! Nab strategically-placed gear to transform your fighter into a submersible for terrifying subaquatic combat! "
"Justice League Task Force";"";"vs. fighting";"Batman vs. Superman! Wonder Woman vs. The Flash! Aquaman vs. Green Arrow! Are you reading this right? For the first time ever, the DC super heroes battle head-to-head! Become your favorite Justice League super hero or choose evil villains Darkseid, Cheetah, or Despero! Pit your hero's special powers and awesome signature moves against any character you choose... even Superman vs. Superman! Battle from the ends of the earth to Metropolis, Gotham City, Apokolips and more! Incredible, pulse-pounding one-on-one fighting action and super sound FX put this game in a league of its own! "
"Ninja Warriors - The New Generation";"Ninja Warriors";"action";"Three androids, programmed with all the ancient skills of Ninja Warriors, are sent forth, untried, to defeat an army and bring down the tyrant, Banglar. They will attack their foes with fist, sword, knives, curving steel blades, and their own powerful bodies. They have no human emotions to weaken them, and only one mission - to destroy all enemies! "
"Strike Gunner S.T.G";"";"shooter";"Allied nations are trying to establish global peace by destroying nuclear weapons and reducing armaments. But Sovinia, an independent military country is planning a massive invasion of the planet... get ready to defend Earth flying the ultimate fighter, the ""Modified F-14 Strike Gunner"", ""PROJECT EARTH"", the last hope for the human race, is about to begin... "
"Operation Logic Bomb";"";"shooter";"The best scientists in the world have been working for years on the Subspace Particle Transfer Project, a process that uses subspace transporters to dematerialize an object, then instantly rematerializes it at another location. Short distance transfers of individuals have also been successful, and the scientists were about to begin long-range transport experiments. However, contact with the research laboratory has been lost. Someone - or something - has taken over the facility and shut down all outside communications. There is no information about the intruders or their capabilities... no one has entered the facility and returned to tell about it. Plans for a final assault have been prepared and if it fails, there will be no choice but to destroy the entire installation. Agent Logan, who has been fitted with bioelectronic implants that give him superior strength, reflexes, and anlystical abilities, has been briefed on all aspects of the mission. Now it's up to him to infiltrate the lab, neutralize the intruders, and rescure the scientists. "
"Iron Commando";"";"brawler";"Take control of either Jake, a soldier, or Chang Li, a martial arts master, in your quest to stop G.H.O.S.T. from capturing a radioactive meteorite."
"Indiana Jones Greatest Adventures";"";"action, platforms";"Grab your trusty whip and slash your way throughout all three Indy classics in this no-thrills-barred video game adventure! If it happens in the movies... it happens here... the giant boulder from Raiders of the Lost Ark, the mine cart chase from Temple of Doom, Three Trials from The Last Crusade. It's three times the Indy, all on one blockbuster game pak!"
"Dynasty Wars";"";"brawler";"The Han Dynasty has been overthrown by rebellious warlords and violence is the only language they know. Four courageous warriors have united forces to challenge these barbaric rebels in their fight for supremacy. Select a warrior, grab a horse, prepare to gallop through 8 frenetic levels of fast-paced action... and open up the most bloodstained chapter in history."
"Shienryu";"";"shooter";"Caravans are colony ships that venture into deep space in search of Earth-like planets. Eventually, Caravan 7861 discovered a a suitable planet in another star system. Nearly a hundred years later, the new mother planet became overrun by aliens under the command of the mysterious Shienryu. Fortresses were built with the goal of preventing any human development. Eventually, a special team called Burn Dragoon was established, comprising the best pilots who had to use all their skills against the alien threat."
"Weird Dreams";"";"action, puzzle";"A severely ill man is on the operating table when a Daemon named Emily trapping you in your own subconscious. To escape you must find four orbs, which are trapped within a selection of esoteric mini-games set within the darkest Dali-influenced recesses of the mind."
"Snow Bros. 2 - With New Elves";"Snow Bros.";"platforms";""
"Crystal's Pony Tale";"";"action, platforms";"A crabby witch casts a wicked spell and Crystal the Pony's friends are prisoners! Crystal gallops through flowery fields, dark forests and spooky caves in search of the magic crystals that will free her pony pals! Choose Crystal's colors and watch her use horse sense to solve puzzles and outsmart tricky elves. Find surprises and excitement everywhere in forest friends, glimmering crystals, talking trees and a scrumptious gingerbread house! Collect lucky horseshoes to open the gates, walk on clouds and create a rainbow bridge home to Crystal's castle. Seven levels of adventurous play for hours of fun!"
"Captain Dynamo";"";"platforms";"Evil Austen Von Flyswatter has stolen the largest set of diamonds ever. Ousted from retirement, caped crusader Captain Dynamo hurtles into action! Rescue the diamonds, dodge booby traps and save the world! "
"ActRaiser 2";"ActRaiser";"action, platforms";"The Destroyer is back... Amazing graphics, spellbinding music, 100% action adventure, all taking place in a universe of ghouls and furies! Dive into the dream... or the nightmare!"
"Spot Goes To Hollywood";"Spot";"platforms";"Underwater or underground! Pirates or jungle beasts! Flying into the future or hovering in horror! SPOT is out to steal the spotlight and win the ""Best SPOT"" award. See SPOT fly a space craft, swim underwater and even ride a motorcycle through every level of unpredictable movie madness! From danger SPOT to hot SPOT... it's non-stop SPOT!"
"Gyrodine";"";"shooter";""
"Prehistoric Isle 2";"";"shooter";""
"Rage of the Dragons";"";"vs. fighting";"Iron hands wipe out evil! Out now! Rage of the Dragons. In a town ruled by an evil religious cult, the battle to decide the strongest dragon begins! Each contestant is a champion who contends with the power of mighty dragons. Black Dragon, Red Dragon, Blue Dragon, and White Dragon. Go head to head in a tag-team partnership to test your attack and defense to the heat of battle."
"Double Dragon (vs. Fighting)";"Double Dragon";"vs. fighting";"Return to Legend Double Dragons! Powerful special attacks, which have never been seen! Special attacks which allow the player who is behind to help catch up! Transformations by Billy & Jimmy, which are unthinkable., Auto-zoom play field, which depends on the distance between two players. "
"Boogie Wings";"";"shooter";""
"Top Hunter - Roddy & Cathy";"";"action";"Clean up the Space Pirates! Time: The age of space colonialism. The dreaded Klaptons are on the loose, turning peaceful settlements into ghost towns. Searching for the price on the Klapton's heads come the cosmic bounty hunters Roddy and Cathy. Do these two have what it takes to save the universe? Can they work together without competing for the rewards themselves? Their fate, and the fate of the free universe is in your hands - the legendary team known as Top Hunter!"
"Magical Drop";"";"puzzle";"Destroy falling balloons by dropping groups of three or more. Learn trick combination moves and your screen will burst into a cloud of colorful explosions. By the time you've discovered the secrets of Ice and Arrow balloons, you won't be able to stop playing this puzzle masterpiece."
"Herc's Adventures";"";"action";" It's time to get mythical and kick some Greek monster butt. Try on the super-strength of Hercules, or the fighting speed of Atlanta, or the street smarts of Jason. It's open season on the one-eyed Cyclops, the multi-headed Hydra, Medusa with the snake hairdo, sword-swinging skeletons, deranged gods, nasty Martians, crazy clowns and other not-so-mythological monstrosities. With your arsenal of arrows, slingshots, swords, houses, sheep, inflarable cows and ray guns it's up to you to save ancient civilization from massive myth-fortune."
